Material_Name,Category,T_min_K,T_max_K,A,B,C,D,E,,,,,,,,,,
CuO,Glasses & Functional Oxides,298.15,1300,48.2,7.4,-1.8,0.25,-0.8,,,,,,,,,,
B2O3,Glasses & Functional Oxides,298.15,723,5.4315,272.56,-252.4956,97.6554,-0.377274,,,,,,,,,,
Cu2O,Glasses & Functional Oxides,298.15,1100,59.42,37.84767,-26.45,11.076,-0.54218,,,,,,,,,,
K2O,Glasses & Functional Oxides,298.15,700,245.01,-567.0492,778.7219,-346.2641,-4.653361,,,,,,,,,,
K2O2,Glasses & Functional Oxides,298.15,2000,79.12488,76.6,-11.121,2.37,-0.079668,,,,,,,,,,
Na2O,Glasses & Functional Oxides,298.15,1023,25.5754,177.71,-166.335,57.6116,0.338149,,,,,,,,,,
Na2O2,Glasses & Functional Oxides,298.15,785,63.9,131.7793,-123.3272,50.7,-0.3849,,,,,,,,,,
P4O10,Glasses & Functional Oxides,298.15,1500,67.7,576.4548,-219.752,18.93,-0.7748,,,,,,,,,,
AL2S3,Inorganic & Technological Compounds,298.15,1500,119.9243,8.9722,13.61147,-6.835233,-1.6516,,,,,,,,,,
ALBr3,Inorganic & Technological Compounds,370.6,1500,124.9652,-0.000000034,3.287*10^-8,-0.0000000103352,-0.0000000003984,,,,,,,,,,
ALCL3,Inorganic & Technological Compounds,465.7,1500,125.52,1.95*10^-9,_1.89*10^-9,5.9363*10^-10,2.22*10^-11,,,,,,,,,,
ALI3,Inorganic & Technological Compounds,298.15,464.15,72.276,148.9789,-128.2329,36.4755,-0.6677,,,,,,,,,,
B,Inorganic & Technological Compounds,298.15,1800,10.18574,29.244,-18.02137,4.2123,-0.55,,,,,,,,,,
B3O3H2,Inorganic & Technological Compounds,298.15,1400,-70.9238,567.342,-365.7787,80.54995,2.7186,,,,,,,,,,
Ba(OH)2,Inorganic & Technological Compounds,298.15,681,47.6143,332.414,-522.429,302.7,-0.597935,,,,,,,,,,
BaBr2,Inorganic & Technological Compounds,298.15,1130,70.5686,21.62,-0.001626,-0.001652,-0.000068,,,,,,,,,,
BaCL2,Inorganic & Technological Compounds,298.15,1198,49.8765,101.446,-123.1,60.9448,0.39,,,,,,,,,,
BaF2,Inorganic & Technological Compounds,298.15,900,50.752,114.029,-162.777,92.2164,-0.045675,,,,,,,,,,
BaI2,Inorganic & Technological Compounds,298.15,984,73.12,15.1234,5.008,-1.63,-0.048,,,,,,,,,,
BaO,Inorganic & Technological Compounds,298.15,2286,47.42,13.14,-3.8,0.726,-0.34,,,,,,,,,,
BaS,Inorganic & Technological Compounds,298.15,3000,49.357,9.3,-0.99,0.1755,-0.245622,,,,,,,,,,
Be(OH)2,Inorganic & Technological Compounds,298.15,1000,55.85,147.2,-139.35,51.29,-2.05,,,,,,,,,,
Be3N2,Inorganic & Technological Compounds,298.15,1000,24.1327,252.754,-223.945,72.23,-1.53134,,,,,,,,,,
BeBr2,Inorganic & Technological Compounds,298.15,1500,52.23,68.55,-51.37,14.72,-0.223,,,,,,,,,,
BeCL2,Inorganic & Technological Compounds,298.15,688,57.5226,48.3527,-28.266,5.565,-0.6352,,,,,,,,,,
BeF2,Inorganic & Technological Compounds,298.15,500,114.2533,-256.7867,389.9634,0,-1.825756,,,,,,,,,,
BeI2,Inorganic & Technological Compounds,298.15,753,82.46,14.52,-10.33,2.734,-1.52,,,,,,,,,,
BeO,Inorganic & Technological Compounds,298.15,800,3.36,131.6,-140.5,56.2,-0.5367,,,,,,,,,,
BeSO4,Inorganic & Technological Compounds,298.15,900,122.388,-49.99,138.68,-32.91,-2.96,,,,,,,,,,
Ca(OH)2,Inorganic & Technological Compounds,298.15,1000,130.83,-82.69,122.769,-50.392,-2.513,,,,,,,,,,
CaBr2,Inorganic & Technological Compounds,298.15,1015,103.14,-71.943,75.7354,-17.1,-1.1524,,,,,,,,,,
CaCL2,Inorganic & Technological Compounds,298.15,1045,87.296,-35.07644,44.12781,-9.848,-0.6743,,,,,,,,,,
CaF2,Inorganic & Technological Compounds,298.15,1424,89.884,-46.12,65.2779,-17.863,-1.1394,,,,,,,,,,
CaI2,Inorganic & Technological Compounds,298.15,1052,71.469,19.248,0.448,-0.138,-0.0079,,,,,,,,,,
CaS,Inorganic & Technological Compounds,298.15,3000,48.6,7.28,-1.934,0.3297,-0.289,,,,,,,,,,
Cr2N,Inorganic & Technological Compounds,298.15,2500,73.56,8.711,11.7,-2.49,-0.972,,,,,,,,,,
CrN,Inorganic & Technological Compounds,298.15,600,-2256.16,10531,-17686.5,10370.3,41.4294,,,,,,,,,,
Cs2SO4,Inorganic & Technological Compounds,298.15,800,30.7,524.33,-761.56,486.96,0.2578,,,,,,,,,,
CsCL,Inorganic & Technological Compounds,298.15,743,44.43,27.834,-8.253,3.9686,0.029749,,,,,,,,,,
CsF,Inorganic & Technological Compounds,298.15,976,45.24,22.616,-5.54,2.025,0.038,,,,,,,,,,
CsI,Inorganic & Technological Compounds,298,1000,20.559,64.58,-52.988,16.958,-0.782,,,,,,,,,,
N2O,Inorganic & Technological Compounds,298,1400,27.67,51.14,-30.64,6.84,-0.15,,,,,,,,,,
CO,Inorganic & Technological Compounds,298,1300,25.56,6.09,4.05,-2.67,0.13,,,,,,,,,,
HCl,Inorganic & Technological Compounds,298,1200,32.12,-13.45,19.86,-6.85,-0.046,,,,,,,,,,
SF6,Inorganic & Technological Compounds,298,1000,58.9,255.53,-252.27,88.76,-1.6,,,,,,,,,,
B3O3H3,Inorganic & Technological Compounds,298,1400,-70.92,567.342,-365.78,80.55,,,,,,,,,,,
Br2,Inorganic & Technological Compounds,332.5,3400,38.52,-1.977,1.526,-0.198,-0.186,,,,,,,,,,
Cs2O,Inorganic & Technological Compounds,298,6000,58.09,0.092,-0.025,0.002141,-0.244,,,,,,,,,,
CsOh,Inorganic & Technological Compounds,588,2000,81.588,0,0,0,0,,,,,,,,,,
CuSO4,Inorganic & Technological Compounds,298,2000,87.57,129.45,-78.23,17.23,-1.879,,,,,,,,,,
Fe(OH)2,Inorganic & Technological Compounds,298,1400,86.48,8.533,9.929,-5.095,-1.626,,,,,,,,,,
Fe2(SO4)3,Inorganic & Technological Compounds,298,1200,85.69,803.97,-695.75,215.6,-0.396,,,,,,,,,,
Fe3O4,Inorganic & Technological Compounds,298,900,104.209,178.5108,10.615,1.13,-0.994,,,,,,,,,,
FeCL3,Inorganic & Technological Compounds,298,577,979.11,-4704.3,9295.174,6246.96,-12.49,,,,,,,,,,
FeS2,Inorganic & Technological Compounds,298,1400,82.3,-23.72,35.14,-9.59,-1.39,,,,,,,,,,
FeSO4,Inorganic & Technological Compounds,298,1200,32.55,305.48,-264.41,81.95,-0.15,,,,,,,,,,
H2O,Inorganic & Technological Compounds,298,500,-203.606,1523.29,-3196.41,2474.455,3.85,,,,,,,,,,
H3BO3,Inorganic & Technological Compounds,298,1200,22.91,182.03,-125.75,34.68,-0.145,,,,,,,,,,
H3PO4,Inorganic & Technological Compounds,298,315.5,15.48,303.74,-0.96,0.38,0.007,,,,,,,,,,
HBO2,Inorganic & Technological Compounds,298,1200,19.39,90.509,-58.45,14.98,0.05,,,,,,,,,,
HgBr2,Inorganic & Technological Compounds,298,514,66.69,28.97,0.301,-0.0941,-0.0037,,,,,,,,,,
HgO,Inorganic & Technological Compounds,298,1000,27.602,73.55,-58.49,16.82,-0.064,,,,,,,,,,
I2,Inorganic & Technological Compounds,298,386.75,-195.76,918.89,-1079.24,534.32,5.15,,,,,,,,,,
K(HF2),Inorganic & Technological Compounds,298,469,17.83,301.14,-498.38,404.75,0.257,,,,,,,,,,
K2CO3,Inorganic & Technological Compounds,298,1174,97.08,94.22,-2.053,0.709,-0.947,,,,,,,,,,
K2S,Inorganic & Technological Compounds,298,800,69.17,16.75,13.43,-6.57,-0.04,,,,,,,,,,
K2SiO3,Inorganic & Technological Compounds,298,1249,109.05,124.24,-65.73,13.44,-1.99,,,,,,,,,,
KBO2,Inorganic & Technological Compounds,298,1220,41.74,119.616,-71.806,15.1,-0.39,,,,,,,,,,
KBr,Inorganic & Technological Compounds,298,900,39.22,63.36,-94.72,60.44,0.09,,,,,,,,,,
KCL,Inorganic & Technological Compounds,298,900,35.41,70.03,-91.38,52.52,0.15,,,,,,,,,,
KF,Inorganic & Technological Compounds,298,900,46.53,13.96,-2.385,2.844,-0.14,,,,,,,,,,
KH,Inorganic & Technological Compounds,298,1500,28.28,60.56,-36.4,7.93,-0.48,,,,,,,,,,
KI,Inorganic & Technological Compounds,298,954,73.62,-85.43,130.09,-48.86,-0.5,,,,,,,,,,
KO2,Inorganic & Technological Compounds,298,1500,78.12,36.87,-25.001,5.76,-0.85,,,,,,,,,,
KOH,Inorganic & Technological Compounds,298,516,80.78,-112.23,301.15,-147.99,-0.46,,,,,,,,,,
CuCL,Inorganic & Technological Compounds,298,703,75.27,-26.83,25.69,-7.35,-1.84,,,,,,,,,,
CuCL2,Inorganic & Technological Compounds,298,1500,70.21,23.36,-14.86,4.05,-0.36,,,,,,,,,,
CuF,Inorganic & Technological Compounds,298,2000,46.65,33.62,-20.881,4.27,-0.27,,,,,,,,,,
CuF2,Inorganic & Technological Compounds,298,1109,57.97,59.88,-32.64,5.95,-0.67,,,,,,,,,,
Li2CO3,Inorganic & Technological Compounds,298,683,68.33,146.63,-162.57,248.02,-0.702,,,,,,,,,,
Li2O,Inorganic & Technological Compounds,298,1600,68.69,5.46,23.18,-9.49,-1.602,,,,,,,,,,
Li2O2,Inorganic & Technological Compounds,298,2000,71.79,48.58,1.602,-0.856,-1.401,,,,,,,,,,
Li2SO4,Inorganic & Technological Compounds,298,1132,130.42,25.11,104.21,-33.708,-2.55,,,,,,,,,,
Li3N,Inorganic & Technological Compounds,298,1300,54.92,86.215,8.42,-8.1036,-0.521,,,,,,,,,,
P,Inorganic & Technological Compounds,298,317.3,24.32,-1.809,7.48,3.147,-0.29,,,,,,,,,,
Pb3O4,Inorganic & Technological Compounds,298,1500,190.04,7.414,15.069,-1.458,-3.45,,,,,,,,,,
PbBr2,Inorganic & Technological Compounds,298,644,52.27,66.71,-19.01,5.13,0.799,,,,,,,,,,
PbCL2,Inorganic & Technological Compounds,298,774,68.81,28.22,0.59,-0.167,-0.016,,,,,,,,,,
PbI2,Inorganic & Technological Compounds,298,683,133.28,-221.89,304.16,-104.25,-1.22,,,,,,,,,,
PbO2,Inorganic & Technological Compounds,298,1200,57.911,48.88,-34.77,7.97,-0.75,,,,,,,,,,
PbS,Inorganic & Technological Compounds,298,1386.5,47.38,7.55,2.008,-0.7004,-0.031,,,,,,,,,,
Li3N\\,Inorganic & Technological Compounds,298,1300,54.92,86.21,8.42,-8.103,-0.521,,,,,,,,,,
LiALO2,Inorganic & Technological Compounds,298,1973,92.36,12.15,-0.013,0.002,-2.508,,,,,,,,,,
LiBO2,Inorganic & Technological Compounds,298,1117,58.57,46.42,5.64,-1.19,-1.11,,,,,,,,,,
LiBr,Inorganic & Technological Compounds,298,823,71.38,-81.89,118.88,-32.37,-0.68,,,,,,,,,,
LiCL,Inorganic & Technological Compounds,298,883,43.74,20.37,0.3,-0.094,-0.16,,,,,,,,,,
LiF,Inorganic & Technological Compounds,298,1121.3,41.76,18.711,0.6937,-0.9926,-0.487,,,,,,,,,,
LiH,Inorganic & Technological Compounds,298,961.8,15.458,52.9322,-0.09997,0.029244,-0.291667,,,,,,,,,,
LiI,Inorganic & Technological Compounds,298,742,101.5,-192.2945,285.8199,-121.6126,-1.4471,,,,,,,,,,
LiOH,Inorganic & Technological Compounds,298,1200,42.14,145.8434,-110.7379,32.621,-0.484947,,,,,,,,,,
Mg(OH)2,Inorganic & Technological Compounds,298,1000,84.9,74.44,-68.928,26.63242,-2.1749,,,,,,,,,,
Mg2SiO4,Inorganic & Technological Compounds,298,2171,140.8749,47.152,-12.227,1.721771,-3.1472,,,,,,,,,,
Mg2TiO4,Inorganic & Technological Compounds,298,2013,146.3417,43.511,-3.462,0.000024,-2.7,,,,,,,,,,
Mg3N2,Inorganic & Technological Compounds,298,823,95.87,29,1.9795,-0.884866,-0.012757,,,,,,,,,,
MgAL2O4,Inorganic & Technological Compounds,298,2408,146.55,35.91295,-0.184,0.0314,-3.66,,,,,,,,,,
